1 	[Retrieved Data]681 (5/14/2024 2:02:40 PM)	54.66	64.68	50.18	4.69	4.69	4.69	4.69	4.69	4.56	4.50	4.42	4.35	4.33	4.40	4.54	4.76	5.09	5.58	6.12	6.46	6.63	6.59	6.43	6.86	9.49	17.18	31.78	50.49	68.12	80.30	87.14	90.49	91.82	92.43	92.68	92.85	93.00	92.96	92.96	92.96	92.96	92.96
1 	[Retrieved Data]681 (5/14/2024 2:02:40 PM)	50.12	71.26	67.69	1.82	1.82	1.82	1.82	1.82	1.62	1.45	1.32	1.19	1.09	1.06	1.07	1.15	1.36	1.68	2.12	2.42	2.61	2.58	2.45	2.88	5.46	13.05	27.53	46.13	63.74	75.91	82.78	86.13	87.49	88.10	88.37	88.51	88.66	88.65	88.65	88.65	88.65	88.65
2 	[Retrieved Data]682 (5/14/2024 2:02:40 PM)	93.57	-1.81	2.70	14.95	14.95	14.95	14.95	14.95	27.50	57.60	81.34	88.43	85.69	80.24	80.17	79.81	79.62	82.47	85.72	87.14	87.00	86.46	85.50	84.23	83.06	82.18	81.90	82.15	82.79	83.72	84.89	85.98	86.92	87.60	88.24	88.85	89.55	90.06	90.06	90.06	90.06	90.06
2 	[Retrieved Data]682 (5/14/2024 2:02:40 PM)	92.17	-1.80	2.15	12.19	12.19	12.19	12.19	12.19	24.74	54.94	79.11	86.59	83.60	77.71	77.64	77.03	76.71	79.52	82.75	84.04	83.81	83.25	82.28	81.03	79.88	78.97	78.64	78.81	79.45	80.36	81.48	82.60	83.50	84.22	84.83	85.48	86.15	86.66	86.66	86.66	86.66	86.66
3 	[Retrieved Data]683 (5/14/2024 2:02:40 PM)	88.98	3.38	4.44	13.63	13.63	13.63	13.63	13.63	24.00	49.74	70.22	75.96	73.43	68.19	67.70	67.00	67.04	69.74	72.33	73.37	73.55	73.26	72.43	72.07	72.66	73.79	75.26	76.80	78.33	79.86	81.56	83.14	84.43	85.36	86.18	87.02	87.94	88.74	88.74	88.74	88.74	88.74
3 	[Retrieved Data]683 (5/14/2024 2:02:40 PM)	87.42	3.56	3.98	10.81	10.81	10.81	10.81	10.81	21.17	46.98	67.82	73.85	71.12	65.51	65.00	64.14	64.05	66.71	69.23	70.19	70.29	69.94	69.14	68.79	69.40	70.55	71.97	73.43	74.95	76.46	78.12	79.72	80.96	81.95	82.75	83.61	84.51	85.31	85.31	85.31	85.31	85.31
4 	[Retrieved Data]684 (5/14/2024 2:02:40 PM)	90.76	-0.94	5.31	13.75	13.75	13.75	13.75	13.75	24.64	51.15	71.97	78.00	75.55	70.63	70.59	70.48	71.02	74.62	78.42	80.17	80.31	79.79	78.65	77.39	76.54	76.08	76.25	76.92	78.01	79.39	81.06	82.68	83.98	84.97	85.84	86.73	87.69	88.53	88.53	88.53	88.53	88.53
4 	[Retrieved Data]684 (5/14/2024 2:02:40 PM)	89.28	-0.90	4.87	11.00	11.00	11.00	11.00	11.00	21.89	48.45	69.70	75.99	73.31	67.97	67.87	67.71	68.09	71.61	75.37	77.08	77.12	76.53	75.38	74.16	73.34	72.88	73.00	73.59	74.66	76.03	77.67	79.28	80.57	81.59	82.46	83.35	84.31	85.14	85.14	85.14	85.14	85.14
5 	[Retrieved Data]685 (5/14/2024 2:02:40 PM)	94.47	0.78	6.40	14.85	14.85	14.85	14.85	14.85	27.11	56.17	78.58	85.17	82.44	77.28	77.26	76.93	77.19	80.52	84.20	85.99	86.29	86.33	86.14	86.01	86.33	86.97	87.77	88.56	89.18	89.69	90.23	90.65	91.05	91.31	91.52	91.79	92.03	92.12	92.12	92.12	92.12	92.12
5 	[Retrieved Data]685 (5/14/2024 2:02:40 PM)	93.09	0.86	5.95	12.14	12.14	12.14	12.14	12.14	24.35	53.52	76.51	83.36	80.35	74.66	74.53	74.30	74.31	77.50	81.15	82.92	83.16	83.10	82.86	82.83	83.18	83.76	84.54	85.21	85.84	86.31	86.84	87.21	87.65	87.92	88.14	88.43	88.63	88.71	88.71	88.71	88.71	88.71
