79 	[Retrieved Data]759 (5/14/2024 2:02:40 PM)	95.65	-2.03	13.74	13.70	13.70	13.70	13.70	13.70	24.95	51.14	70.86	76.52	74.20	70.03	70.64	71.52	73.34	78.94	85.43	89.37	90.60	90.98	90.98	90.68	90.47	90.33	90.41	90.65	90.89	91.16	91.47	91.73	91.98	92.16	92.28	92.47	92.64	92.61	92.61	92.61	92.61	92.61
79 	[Retrieved Data]759 (5/14/2024 2:02:40 PM)	94.30	-2.02	13.50	11.05	11.05	11.05	11.05	11.05	22.26	48.50	68.60	74.55	71.98	67.44	68.01	68.78	70.43	75.97	82.41	86.28	87.43	87.74	87.73	87.49	87.30	87.13	87.15	87.31	87.57	87.80	88.11	88.33	88.64	88.79	88.91	89.11	89.28	89.27	89.27	89.27	89.27	89.27
80 	[Retrieved Data]760 (5/14/2024 2:02:40 PM)	87.86	4.82	13.42	12.27	12.27	12.27	12.27	12.27	20.72	41.53	57.51	61.69	59.58	55.58	55.50	55.79	57.25	61.74	66.26	68.80	69.83	69.96	69.46	69.72	71.26	73.47	75.86	77.99	79.75	81.33	82.95	84.39	85.54	86.42	87.12	87.87	88.69	89.39	89.39	89.39	89.39	89.39
80 	[Retrieved Data]760 (5/14/2024 2:02:40 PM)	86.25	5.02	13.29	9.51	9.51	9.51	9.51	9.51	17.93	38.76	55.01	59.37	57.14	52.81	52.71	52.89	54.23	58.66	63.13	65.58	66.57	66.65	66.15	66.42	67.98	70.18	72.54	74.59	76.36	77.93	79.53	80.96	82.11	82.97	83.67	84.43	85.24	85.94	85.94	85.94	85.94	85.94
81 	[Retrieved Data]761 (5/14/2024 2:02:40 PM)	92.28	-3.22	7.83	13.67	13.67	13.67	13.67	13.67	24.61	50.80	71.21	77.21	75.00	70.62	71.00	71.27	72.51	77.09	82.10	84.67	85.04	84.56	83.40	81.79	80.32	79.19	78.74	79.00	79.79	80.95	82.41	83.83	85.00	85.92	86.68	87.52	88.37	89.12	89.12	89.12	89.12	89.12
81 	[Retrieved Data]761 (5/14/2024 2:02:40 PM)	90.81	-3.25	7.45	10.89	10.89	10.89	10.89	10.89	21.79	48.04	68.90	75.16	72.71	67.93	68.22	68.50	69.53	74.02	78.98	81.51	81.81	81.26	80.06	78.52	77.07	75.93	75.41	75.59	76.37	77.50	78.96	80.34	81.58	82.47	83.23	84.06	84.92	85.68	85.68	85.68	85.68	85.68
82 	[Retrieved Data]762 (5/14/2024 2:02:40 PM)	92.82	-1.47	8.71	13.58	13.58	13.58	13.58	13.58	24.61	51.03	71.59	77.51	75.14	70.63	70.88	71.19	72.31	76.74	81.55	84.11	84.62	84.40	83.66	82.72	82.10	81.78	81.92	82.48	83.24	84.18	85.33	86.39	87.30	87.96	88.53	89.15	89.79	90.30	90.30	90.30	90.30	90.30
82 	[Retrieved Data]762 (5/14/2024 2:02:40 PM)	91.38	-1.45	8.35	10.81	10.81	10.81	10.81	10.81	21.83	48.31	69.26	75.49	72.88	67.98	68.21	68.39	69.36	73.70	78.51	80.98	81.41	81.13	80.37	79.50	78.88	78.54	78.64	79.09	79.86	80.82	81.91	82.97	83.92	84.56	85.11	85.77	86.38	86.89	86.89	86.89	86.89	86.89
83 	[Retrieved Data]763 (5/14/2024 2:02:40 PM)	95.89	-1.52	9.30	14.16	14.16	14.16	14.16	14.16	26.20	54.82	77.11	83.69	81.20	76.47	76.90	77.23	78.22	82.63	87.63	90.33	90.93	91.10	91.02	90.68	90.43	90.27	90.37	90.61	90.86	91.10	91.44	91.71	91.96	92.14	92.29	92.48	92.64	92.62	92.62	92.62	92.62	92.62
83 	[Retrieved Data]763 (5/14/2024 2:02:40 PM)	94.57	-1.51	8.93	11.51	11.51	11.51	11.51	11.51	23.53	52.19	74.97	81.87	79.13	73.94	74.28	74.55	75.37	79.69	84.66	87.29	87.84	87.95	87.83	87.54	87.34	87.14	87.15	87.29	87.57	87.76	88.12	88.34	88.67	88.76	88.98	89.17	89.34	89.31	89.31	89.31	89.31	89.31
84 	[Retrieved Data]764 (5/14/2024 2:02:40 PM)	89.98	-0.63	12.43	12.35	12.35	12.35	12.35	12.35	21.61	44.11	61.52	66.33	64.27	60.41	60.79	61.57	63.58	68.89	74.27	77.12	77.90	77.71	76.79	75.93	75.66	75.81	76.42	77.37	78.57	79.98	81.63	83.18	84.45	85.43	86.25	87.10	88.04	88.85	88.85	88.85	88.85	88.85
84 	[Retrieved Data]764 (5/14/2024 2:02:40 PM)	88.43	-0.58	12.23	9.59	9.59	9.59	9.59	9.59	18.83	41.34	59.03	64.06	61.83	57.66	57.99	58.67	60.52	65.79	71.12	73.89	74.59	74.34	73.42	72.63	72.36	72.49	73.08	73.94	75.14	76.54	78.16	79.71	80.97	81.93	82.77	83.63	84.52	85.37	85.37	85.37	85.37	85.37
85 	[Retrieved Data]765 (5/14/2024 2:02:40 PM)	93.75	1.42	13.96	13.24	13.24	13.24	13.24	13.24	23.71	48.47	67.27	72.51	70.15	65.96	66.33	66.97	68.74	73.94	79.50	82.65	83.70	84.09	84.14	84.49	85.55	86.96	88.46	89.67	90.47	90.96	91.41	91.66	91.96	92.13	92.25	92.44	92.58	92.58	92.58	92.58	92.58	92.58
85 	[Retrieved Data]765 (5/14/2024 2:02:40 PM)	92.34	1.50	13.75	10.53	10.53	10.53	10.53	10.53	20.99	45.79	64.98	70.47	67.87	63.29	63.61	64.23	65.82	70.93	76.44	79.54	80.51	80.83	80.87	81.28	82.36	83.76	85.20	86.29	87.08	87.59	88.00	88.26	88.56	88.74	88.85	89.06	89.21	89.19	89.19	89.19	89.19	89.19
86 	[Retrieved Data]766 (5/14/2024 2:02:40 PM)	95.35	-2.59	14.01	13.48	13.48	13.48	13.48	13.48	24.35	50.03	69.71	75.37	73.11	69.02	69.70	70.82	72.89	78.77	85.36	89.26	90.37	90.64	90.49	90.00	89.56	89.18	89.14	89.32	89.62	89.96	90.43	90.80	91.18	91.41	91.63	91.91	92.16	92.23	92.23	92.23	92.23	92.23
86 	[Retrieved Data]766 (5/14/2024 2:02:40 PM)	94.01	-2.63	13.79	10.87	10.87	10.87	10.87	10.87	21.70	47.42	67.46	73.38	70.90	66.45	67.10	68.07	70.00	75.83	82.42	86.21	87.25	87.45	87.31	86.86	86.44	86.05	85.93	85.99	86.29	86.63	87.06	87.43	87.85	88.07	88.29	88.54	88.82	88.90	88.90	88.90	88.90	88.90
87 	[Retrieved Data]767 (5/14/2024 2:02:40 PM)	90.89	2.34	16.53	12.47	12.47	12.47	12.47	12.47	21.47	42.95	59.03	63.33	61.22	57.50	57.83	58.61	60.73	66.26	72.25	75.85	77.21	77.55	77.33	77.54	78.72	80.38	82.23	83.81	85.06	86.09	87.14	88.03	88.77	89.26	89.70	90.19	90.68	91.03	91.03	91.03	91.03	91.03
87 	[Retrieved Data]767 (5/14/2024 2:02:40 PM)	89.37	2.47	16.46	9.73	9.73	9.73	9.73	9.73	18.71	40.19	56.57	61.08	58.78	54.74	55.05	55.75	57.72	63.19	69.12	72.62	73.92	74.22	73.96	74.24	75.45	77.11	78.89	80.41	81.63	82.69	83.68	84.54	85.33	85.82	86.25	86.73	87.22	87.60	87.60	87.60	87.60	87.60
88 	[Retrieved Data]768 (5/14/2024 2:02:40 PM)	23.72	2.60	0.70	4.34	4.34	4.34	4.34	4.34	4.16	4.06	3.98	3.95	3.89	3.87	3.83	3.82	3.80	3.80	3.79	3.78	3.80	3.83	3.88	3.95	4.02	4.06	4.12	4.19	4.26	4.36	4.42	4.51	4.64	4.82	5.36	6.66	9.53	15.51	15.51	15.51	15.51	15.51
88 	[Retrieved Data]768 (5/14/2024 2:02:40 PM)	4.60	2.29	-3.39	1.30	1.30	1.30	1.30	1.30	1.12	0.99	0.89	0.82	0.73	0.68	0.64	0.61	0.59	0.57	0.56	0.51	0.51	0.50	0.47	0.46	0.45	0.46	0.44	0.44	0.45	0.49	0.53	0.56	0.64	0.83	1.30	2.57	5.35	11.25	11.25	11.25	11.25	11.25
89 	[Retrieved Data]769 (5/14/2024 2:02:40 PM)	42.37	-48.23	23.69	4.77	4.77	4.77	4.77	4.77	4.64	4.57	4.52	4.51	4.52	4.64	4.78	5.19	6.39	11.55	23.24	31.96	30.44	22.63	14.27	8.30	5.37	4.42	4.22	4.26	4.42	4.71	5.25	6.17	7.33	8.65	10.27	12.35	15.32	19.56	19.56	19.56	19.56	19.56
89 	[Retrieved Data]769 (5/14/2024 2:02:40 PM)	36.32	-66.09	32.66	1.79	1.79	1.79	1.79	1.79	1.61	1.50	1.42	1.33	1.28	1.30	1.39	1.69	2.83	7.91	19.50	28.15	26.67	18.91	10.69	4.84	1.99	1.06	0.82	0.78	0.89	1.10	1.61	2.51	3.66	4.98	6.56	8.64	11.56	15.77	15.77	15.77	15.77	15.77
90 	[Retrieved Data]770 (5/14/2024 2:02:40 PM)	95.92	-1.36	8.50	14.20	14.20	14.20	14.20	14.20	26.55	55.71	78.36	85.03	82.51	77.68	77.97	78.13	78.86	82.97	87.76	90.39	91.00	91.14	91.04	90.68	90.44	90.28	90.34	90.61	90.87	91.10	91.45	91.69	91.97	92.15	92.28	92.48	92.65	92.66	92.66	92.66	92.66	92.66
90 	[Retrieved Data]770 (5/14/2024 2:02:40 PM)	94.61	-1.35	8.10	11.55	11.55	11.55	11.55	11.55	23.86	53.09	76.25	83.27	80.48	75.20	75.46	75.51	76.04	80.09	84.85	87.40	87.90	88.01	87.88	87.59	87.36	87.19	87.16	87.33	87.57	87.82	88.13	88.37	88.65	88.83	88.98	89.18	89.32	89.35	89.35	89.35	89.35	89.35
91 	[Retrieved Data]771 (5/14/2024 2:02:40 PM)	89.48	-2.19	10.98	12.78	12.78	12.78	12.78	12.78	21.97	44.45	62.03	66.98	65.02	61.11	61.49	62.19	64.10	69.36	74.79	77.64	78.29	77.84	76.56	75.09	74.06	73.44	73.48	74.15	75.36	76.93	78.87	80.73	82.26	83.42	84.46	85.51	86.62	87.68	87.68	87.68	87.68	87.68
91 	[Retrieved Data]771 (5/14/2024 2:02:40 PM)	87.92	-2.20	10.75	10.00	10.00	10.00	10.00	10.00	19.16	41.65	59.61	64.77	62.61	58.34	58.64	59.36	61.09	66.27	71.66	74.49	75.04	74.51	73.21	71.82	70.78	70.16	70.16	70.76	71.96	73.54	75.42	77.28	78.82	80.00	80.98	82.05	83.18	84.21	84.21	84.21	84.21	84.21
92 	[Retrieved Data]772 (5/14/2024 2:02:40 PM)	93.15	-1.06	11.98	13.12	13.12	13.12	13.12	13.12	23.65	48.80	68.25	73.70	71.40	67.13	67.50	68.19	69.78	74.90	80.61	83.85	84.73	84.74	84.28	83.72	83.51	83.59	84.06	84.71	85.41	86.20	87.15	88.00	88.73	89.25	89.68	90.17	90.69	91.04	91.04	91.04	91.04	91.04
92 	[Retrieved Data]772 (5/14/2024 2:02:40 PM)	91.73	-1.03	11.73	10.41	10.41	10.41	10.41	10.41	20.94	46.11	65.87	71.64	69.13	64.52	64.84	65.39	66.83	71.92	77.57	80.71	81.54	81.52	81.01	80.50	80.31	80.39	80.78	81.35	82.09	82.86	83.76	84.61	85.35	85.86	86.31	86.80	87.30	87.68	87.68	87.68	87.68	87.68
93 	[Retrieved Data]773 (5/14/2024 2:02:40 PM)	95.80	-1.71	10.94	13.96	13.96	13.96	13.96	13.96	25.67	53.36	74.73	81.01	78.59	74.06	74.55	75.06	76.35	81.23	86.79	89.98	90.82	91.06	91.00	90.68	90.45	90.29	90.35	90.62	90.88	91.14	91.45	91.72	91.99	92.13	92.28	92.47	92.64	92.63	92.63	92.63	92.63	92.63
93 	[Retrieved Data]773 (5/14/2024 2:02:40 PM)	94.47	-1.70	10.60	11.28	11.28	11.28	11.28	11.28	22.96	50.75	72.58	79.14	76.49	71.55	71.97	72.37	73.51	78.32	83.86	86.94	87.70	87.89	87.81	87.53	87.32	87.14	87.16	87.32	87.58	87.81	88.13	88.35	88.65	88.79	88.95	89.16	89.32	89.34	89.34	89.34	89.34	89.34
94 	[Retrieved Data]774 (5/14/2024 2:02:40 PM)	90.37	-0.03	14.94	12.31	12.31	12.31	12.31	12.31	21.29	42.89	59.39	63.89	61.92	58.27	58.72	59.67	61.99	67.79	73.70	76.97	78.02	78.05	77.35	76.84	76.97	77.54	78.49	79.59	80.79	82.03	83.49	84.82	85.90	86.73	87.41	88.14	88.92	89.61	89.61	89.61	89.61	89.61
94 	[Retrieved Data]774 (5/14/2024 2:02:40 PM)	88.85	0.02	14.82	9.56	9.56	9.56	9.56	9.56	18.52	40.15	56.93	61.67	59.51	55.53	55.97	56.82	58.98	64.72	70.62	73.80	74.78	74.75	74.05	73.56	73.73	74.29	75.18	76.21	77.41	78.62	80.06	81.40	82.49	83.33	84.00	84.75	85.51	86.20	86.20	86.20	86.20	86.20
95 	[Retrieved Data]775 (5/14/2024 2:02:40 PM)	93.67	1.21	16.14	13.05	13.05	13.05	13.05	13.05	23.12	46.78	64.51	69.38	67.15	63.18	63.59	64.38	66.36	71.98	78.33	82.23	83.67	84.18	84.29	84.64	85.70	87.09	88.56	89.74	90.56	91.02	91.46	91.74	92.01	92.17	92.29	92.49	92.64	92.62	92.62	92.62	92.62	92.62
95 	[Retrieved Data]775 (5/14/2024 2:02:40 PM)	92.25	1.31	16.00	10.37	10.37	10.37	10.37	10.37	20.42	44.10	62.14	67.26	64.82	60.53	60.91	61.57	63.40	68.97	75.27	79.07	80.44	80.89	80.99	81.41	82.47	83.86	85.28	86.39	87.19	87.67	88.06	88.33	88.63	88.79	88.89	89.11	89.24	89.24	89.24	89.24	89.24	89.24
96 	[Retrieved Data]776 (5/14/2024 2:02:40 PM)	28.33	24.61	-45.96	12.65	12.65	12.65	12.65	12.65	15.84	24.04	33.53	33.83	29.03	22.35	16.78	12.20	9.52	7.54	6.22	5.57	5.30	5.01	4.66	4.42	4.30	4.28	4.33	4.48	4.73	5.17	5.93	7.13	8.55	10.12	11.94	14.19	17.34	21.68	21.68	21.68	21.68	21.68
96 	[Retrieved Data]776 (5/14/2024 2:02:40 PM)	16.33	39.31	-60.27	9.51	9.51	9.51	9.51	9.51	12.61	20.71	30.19	30.45	25.61	18.90	13.34	8.78	6.09	4.13	2.81	2.16	1.90	1.63	1.30	1.06	0.96	0.92	0.94	1.00	1.20	1.58	2.28	3.47	4.86	6.43	8.23	10.49	13.57	17.90	17.90	17.90	17.90	17.90
